sample	purity	ploidy
Sim_500_1	0.4	1.97388809062
Sim_500_10	0.94	1.94188151381
Sim_500_100	0.74	2.04236659109
Sim_500_101	0.38	1.89444394003
Sim_500_102	0.82	1.9706084405
Sim_500_103	0.98	1.99139622658
Sim_500_104	0.58	2.00533662912
Sim_500_105	0.78	2.04385131564
Sim_500_106	0.56	1.96128497927
Sim_500_107	0.85	2.00879195646
Sim_500_108	0.72	2.42288809966
Sim_500_109	0.29	1.98657400471
Sim_500_11	0.66	1.91965894021
Sim_500_110	0.99	2.09477448091
Sim_500_111	0.65	2.10232976714
Sim_500_112	0.99	2.56119692692
Sim_500_113	0.99	1.98632165647
Sim_500_114	0.75	2.02781776587
Sim_500_115	0.97	3.63668222323
Sim_500_116	0.86	1.93084117226
Sim_500_117	0.22	1.99187248733
Sim_500_118	0.51	1.91663294822
Sim_500_119	0.56	1.94590869492
Sim_500_12	0.64	2.00028326609
Sim_500_120	0.62	2.08777881899
Sim_500_121	0.97	1.87510683048
Sim_500_122	0.6	2.0707892545
Sim_500_123	0.38	1.4549685544
Sim_500_124	0.81	1.9614792314
Sim_500_125	0.46	1.40587483902
Sim_500_126	0.86	1.91852191136
Sim_500_127	0.78	2.01008525032
Sim_500_128	0.51	1.93703694227
Sim_500_129	0.63	2.00035773753
Sim_500_13	0.59	2.00011263319
Sim_500_130	0.63	1.97550978701
Sim_500_131	0.77	1.9980131018
Sim_500_132	0.63	2.38679458961
Sim_500_133	0.69	4.03926800351
Sim_500_134	0.91	2.00078703007
Sim_500_135	0.82	2.04524652198
Sim_500_136	0.66	2.16817246483
Sim_500_137	0.98	1.94565837404
Sim_500_138	0.55	1.92845898704
Sim_500_139	0.66	2.04731643184
Sim_500_14	0.54	1.99450689151
Sim_500_140	0.5	2.16627601936
Sim_500_141	0.65	2.0
Sim_500_142	0.98	2.10232976714
Sim_500_143	0.99	1.95099096665
Sim_500_144	0.68	2.04385131564
Sim_500_145	0.63	2.00879195646
Sim_500_146	0.92	1.95037601092
Sim_500_147	0.32	2.1245959262
Sim_500_148	0.42	2.02594806907
Sim_500_149	0.76	2.00031755354
Sim_500_15	0.61	1.96590814555
Sim_500_150	0.74	2.04236659109
Sim_500_151	0.78	2.08777881899
Sim_500_152	0.61	1.97506187898
Sim_500_153	0.51	2.10678830381
