chromosome	start	end	copy_number	minor_cn	major_cn	ccf	baf	logr	
1	10001	73390451	2	1	1	1	0.5	0.0	
1	73390452	96496398	2	1	1	1	0.552059180743	-0.176250639692	
1	73390452	96496398	1	0	1	0.23	0.552059180743	-0.176250639692	
1	96496399	96512499	2	1	1	1	0.5	0.0	
1	96512500	99615176	1	0	1	1	0.84745762712	-1.0	
1	99615177	249250620	2	1	1	1	0.5	0.0	
2	9997	242984215	2	1	1	1	0.5	0.0	
3	60363	81499125	2	1	1	1	0.5	0.0	
3	81499126	81522587	2	1	1	1	0.730673681132	-0.701341684435	
3	81499126	81522587	1	0	1	0.77	0.730673681132	-0.701341684435	
3	81522588	197835546	2	1	1	1	0.5	0.0	
4	9997	190790246	2	1	1	1	0.5	0.0	
5	17500	59752129	2	1	1	1	0.5	0.0	
5	59752130	59775682	3	1	2	1	0.645390070922	0.584962500721	
5	59775683	180661256	2	1	1	1	0.5	0.0	
6	205800	139252958	2	1	1	1	0.5	0.0	
6	139252959	141663794	1	0	1	1	0.84745762712	-1.0	
6	141663795	170915126	2	1	1	1	0.5	0.0	
7	15752	159138662	2	1	1	1	0.5	0.0	
8	10001	10913160	1	0	1	1	0.84745762712	-1.0	
8	10913161	10931144	0	0	0	1	0.500000000001	-inf	
8	10931145	23894432	1	0	1	1	0.84745762712	-1.0	
8	23894433	26514542	0	0	0	1	0.500000000001	-inf	
8	26514543	38567820	2	1	1	1	0.552059180743	-0.176250639692	
8	26514543	38567820	1	0	1	0.23	0.552059180743	-0.176250639692	
8	38567821	122283542	2	1	1	1	0.5	0.0	
8	122283543	122438590	1	0	1	1	0.84745762712	-1.0	
8	122438591	146364021	2	1	1	1	0.5	0.0	
9	135233	141213430	2	1	1	1	0.5	0.0	
10	60523	11614365	2	1	1	1	0.5	0.0	
10	11614366	11731641	1	0	1	1	0.84745762712	-1.0	
10	11731642	11812463	2	1	1	1	0.5	0.0	
10	11812464	13621840	2	1	1	1	0.523615038223	-0.0816137655537	
10	11812464	13621840	1	0	1	0.11	0.523615038223	-0.0816137655537	
10	13621841	15968555	2	1	1	1	0.5	0.0	
10	15968556	17529827	1	0	1	1	0.84745762712	-1.0	
10	17529828	18846205	2	1	1	1	0.5	0.0	
10	18846206	18866004	1	1	0	1	0.181561428283	-1.37706964908	
10	18846206	18866004	0	0	0	0.23	0.181561428283	-1.37706964908	
10	18866005	79792872	2	1	1	1	0.5	0.0	
10	79792873	81404397	1	0	1	1	0.84745762712	-1.0	
10	81404398	84546969	2	1	1	1	0.5	0.0	
10	84546970	89568503	1	0	1	1	0.84745762712	-1.0	
10	89568504	90312600	0	0	0	1	0.500000000001	-inf	
10	90312601	94496534	1	0	1	1	0.84745762712	-1.0	
10	94496535	96087277	0	0	0	1	0.500000000001	-inf	
10	96087278	96683834	2	1	1	1	0.552059180743	-0.176250639692	
10	96087278	96683834	1	0	1	0.23	0.552059180743	-0.176250639692	
10	96683835	100311232	2	1	1	1	0.5	0.0	
10	100311233	100439154	1	0	1	1	0.84745762712	-1.0	
10	100439155	101225354	2	1	1	1	0.5	0.0	
10	101225355	101391608	2	1	1	1	0.552059180743	-0.176250639692	
10	101225355	101391608	1	0	1	0.23	0.552059180743	-0.176250639692	
10	101391609	135372500	2	1	1	1	0.5	0.0	
11	197337	50404641	2	1	1	1	0.5	0.0	
11	50404642	50477154	1	1	0	1	0.181561428283	-1.37706964908	
11	50404642	50477154	0	0	0	0.23	0.181561428283	-1.37706964908	
11	50477155	50534805	4	2	2	1	0.5	1.0	
11	50534806	111789668	2	1	1	1	0.5	0.0	
11	111789669	111876584	1	0	1	1	0.84745762712	-1.0	
11	111876585	113438103	2	1	1	1	0.5	0.0	
11	113438104	113700798	1	0	1	1	0.84745762712	-1.0	
11	113700799	114558902	0	0	0	1	0.500000000001	-inf	
11	114558903	114839279	2	1	1	1	0.730673681132	-0.701341684435	
